Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/?kodekelompok=527,1,0,7.2657380005693994,7.2657380005693994,7.2657380005693994,7.2657380005693994,150.0,0.00852348874891515,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/?kodekelompok=529,2,0,5.483050998009276,6.292067497270182,5.483050998009276,7.101083996531088,42.0,0.0170469774978303,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/?kodekelompok=53,1,0,27.608901997155044,27.608901997155044,27.608901997155044,27.608901997155044,42.0,0.00852348874891515,0.0,28,28,28,28,28,28,28,28,28,28,28
GET,/?kodekelompok=530,2,0,7.157369997003116,7.36666499869898,7.157369997003116,7.5759600003948435,42.0,0.0170469774978303,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/?kodekelompok=531,1,0,11.87665599718457,11.87665599718457,11.87665599718457,11.87665599718457,150.0,0.00852348874891515,0.0,12,12,12,12,12,12,12,12,12,12,12
GET,/?kodekelompok=532,1,0,8.167207997757941,8.167207997757941,8.167207997757941,8.167207997757941,150.0,0.00852348874891515,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/?kodekelompok=533,1,0,7.063785997161176,7.063785997161176,7.063785997161176,7.063785997161176,42.0,0.00852348874891515,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/?kodekelompok=537,1,0,47.107983999012504,47.107983999012504,47.107983999012504,47.107983999012504,42.0,0.00852348874891515,0.0,47,47,47,47,47,47,47,47,47,47,47
GET,/?kodekelompok=54,1,0,18.935255000542384,18.935255000542384,18.935255000542384,18.935255000542384,149.0,0.00852348874891515,0.0,19,19,19,19,19,19,19,19,19,19,19
GET,/?kodekelompok=540,1,0,52.87230700196233,52.87230700196233,52.87230700196233,52.87230700196233,42.0,0.00852348874891515,0.0,53,53,53,53,53,53,53,53,53,53,53
GET,/?kodekelompok=541,3,0,7,7.905767335614655,6.636368001636583,9.76206100312993,114.0,0.02557046624674545,0.0,7,7,10,10,10,10,10,10,10,10,10
GET,/?kodekelompok=542,5,0,19,19.502061199455056,6.291532998147886,34.14402600174071,42.0,0.04261744374457575,0.0,19,31,31,34,34,34,34,34,34,34,34
GET,/?kodekelompok=544,2,0,14.017709996551275,28.456129497499205,14.017709996551275,42.894548998447135,150.0,0.0170469774978303,0.0,43,43,43,43,43,43,43,43,43,43,43
GET,/?kodekelompok=545,1,0,8.829580001474824,8.829580001474824,8.829580001474824,8.829580001474824,42.0,0.00852348874891515,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,/?kodekelompok=546,1,0,24.486924994562287,24.486924994562287,24.486924994562287,24.486924994562287,471.0,0.00852348874891515,0.0,24,24,24,24,24,24,24,24,24,24,24
GET,/?kodekelompok=547,2,0,9,36.76187850214774,8.518253001966514,65.00550400232896,150.0,0.0170469774978303,0.0,65,65,65,65,65,65,65,65,65,65,65
GET,/?kodekelompok=549,1,0,6.317403000139166,6.317403000139166,6.317403000139166,6.317403000139166,42.0,0.00852348874891515,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/?kodekelompok=550,2,0,10.203240999544505,14.63629199861316,10.203240999544505,19.069342997681815,150.0,0.0170469774978303,0.0,19,19,19,19,19,19,19,19,19,19,19
GET,/?kodekelompok=551,1,0,54.86263799684821,54.86263799684821,54.86263799684821,54.86263799684821,150.0,0.00852348874891515,0.0,55,55,55,55,55,55,55,55,55,55,55
GET,/?kodekelompok=553,1,0,16.659906999848317,16.659906999848317,16.659906999848317,16.659906999848317,42.0,0.00852348874891515,0.0,17,17,17,17,17,17,17,17,17,17,17
GET,/?kodekelompok=554,3,0,9,12.603811665030662,6.900664004206192,22.253728995565325,149.0,0.02557046624674545,0.0,9,9,22,22,22,22,22,22,22,22,22
GET,/?kodekelompok=555,1,0,9.036786999786273,9.036786999786273,9.036786999786273,9.036786999786273,42.0,0.00852348874891515,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,/?kodekelompok=557,1,0,51.40519900305662,51.40519900305662,51.40519900305662,51.40519900305662,150.0,0.00852348874891515,0.0,51,51,51,51,51,51,51,51,51,51,51
GET,/?kodekelompok=56,2,0,7.020418001047801,42.37844599992968,7.020418001047801,77.73647399881156,42.0,0.0170469774978303,0.0,78,78,78,78,78,78,78,78,78,78,78
GET,/?kodekelompok=562,2,0,11.211383003683295,19.8996420003823,11.211383003683295,28.587900997081306,42.0,0.0170469774978303,0.0,29,29,29,29,29,29,29,29,29,29,29
GET,/?kodekelompok=563,1,0,6.60907500423491,6.60907500423491,6.60907500423491,6.60907500423491,42.0,0.00852348874891515,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/?kodekelompok=564,1,0,13.95923200470861,13.95923200470861,13.95923200470861,13.95923200470861,150.0,0.00852348874891515,0.0,14,14,14,14,14,14,14,14,14,14,14
GET,/?kodekelompok=568,3,0,8,18.68559466917456,5.604591002338566,42.104909000045154,42.0,0.02557046624674545,0.0,8,8,42,42,42,42,42,42,42,42,42
GET,/?kodekelompok=570,1,0,21.162115001061466,21.162115001061466,21.162115001061466,21.162115001061466,150.0,0.00852348874891515,0.0,21,21,21,21,21,21,21,21,21,21,21
GET,/?kodekelompok=572,3,0,7,7.026007668173406,5.906764999963343,8.055376005358994,184.66666666666666,0.02557046624674545,0.0,7,7,8,8,8,8,8,8,8,8,8
GET,/?kodekelompok=573,1,0,5.881523997231852,5.881523997231852,5.881523997231852,5.881523997231852,42.0,0.00852348874891515,0.0,6,6,6,6,6,6,6,6,6,6,6
GET,/?kodekelompok=576,2,0,8,19.596520502091153,7.936023001093417,31.257018003088888,42.0,0.0170469774978303,0.0,31,31,31,31,31,31,31,31,31,31,31
GET,/?kodekelompok=58,2,0,21,37.825172003067564,20.65483900514664,54.99550500098849,42.0,0.0170469774978303,0.0,55,55,55,55,55,55,55,55,55,55,55
GET,/?kodekelompok=580,3,0,9.960923998733051,8.99419266594729,7.134033003239892,9.960923998733051,42.0,0.02557046624674545,0.0,10,10,10,10,10,10,10,10,10,10,10
